NU_ANO;CO_UF_ESCOLA;SG_UF_ESCOLA;CO_MUNICIPIO_ESCOLA;NO_MUNICIPIO_ESCOLA;CO_ESCOLA_EDUCACENSO;NO_ESCOLA_EDUCACENSO;TP_DEPENDENCIA_ADM_ESCOLA;TP_LOCALIZACAO_ESCOLA;NU_MATRICULAS;NU_PARTICIPANTES_NEC_ESP;NU_PARTICIPANTES;NU_TAXA_PARTICIPACAO;NU_MEDIA_CN;NU_MEDIA_CH;NU_MEDIA_LP;NU_MEDIA_MT;NU_MEDIA_RED;NU_MEDIA_OBJ;NU_MEDIA_TOT;INSE;PC_FORMACAO_DOCENTE;NU_TAXA_PERMANENCIA;NU_TAXA_APROVACAO;NU_TAXA_REPROVACAO;NU_TAXA_ABANDONO;PORTE_ESCOLA
2005;33;RJ;3303302;Niterói;33055335;CENTRO EDUC DE NITEROI;4;1;51;;62;;;;;;;;60.66;;;;;;;De 31 a 60 alunos
2007;33;RJ;3303302;Niterói;33055343;CENTRO EDUC DE NITEROI;4;1;28;;29;;;;;;;;71.97;;;;98.70;1.30;0.00;De 1 a 30 alunos
2008;33;RJ;3303302;Niterói;33055343;CENTRO EDUC DE NITEROI;4;1;21;;27;;;;;;65.00;59.85;;;;;94.70;5.30;0.00;De 1 a 30 alunos
2008;33;RJ;3303302;Niterói;33055378;CENTRO EDUCACIONAL SHALON;4;1;33;;14;;;;;;57.50;41.38;;;;;;;;De 31 a 60 alunos
2005;33;RJ;3303302;Niterói;33055408;EQUIPE 1 VESTIBULAR E COLEGIO;4;1;35;;12;;;;;;;;56.99;;;;80.20;15.60;4.20;De 31 a 60 alunos
2005;33;RJ;3303302;Niterói;33055521;CENTRO DE FORM BASICA E PROF MARIA THEREZA;4;1;33;;13;;;;;;;;50.58;;;;76.80;23.20;0.00;De 31 a 60 alunos
2006;33;RJ;3303302;Niterói;33055521;CENTRO DE FORM BASICA E PROF MARIA THEREZA;4;1;38;;22;;;;;;;;49.28;;;;;;;De 31 a 60 alunos
2007;33;RJ;3303302;Niterói;33055521;CENTRO DE FORM BASICA E PROF MARIA THEREZA;4;1;31;;17;;;;;;;;52.70;;;;72.70;27.30;0.00;De 31 a 60 alunos
2008;33;RJ;3303302;Niterói;33055521;CENTRO DE FORM BASICA E PROF MARIA THEREZA;4;1;37;;18;;;;;;60.42;45.86;;;;;78.80;20.20;1.00;De 31 a 60 alunos
2005;33;RJ;3303302;Niterói;33055580;COL CORREA D'AVILA;4;1;29;;16;;;;;;;;56.49;;;;88.40;11.60;0.00;De 1 a 30 alunos
2006;33;RJ;3303302;Niterói;33055580;COL CORREA D'AVILA;4;1;26;;10;;;;;;;;52.11;;;;;;;De 1 a 30 alunos
